App,Feature Id,Feature Title,Feature Description,Release Date
Firefox,Feature_00001,Feature_00001,Firefox now displays images and descriptions for search suggestions when provided by the search engine.,2024-01-23
Firefox,Feature_00002,Feature_00002,"The translations feature received an improvement in the quality of translated webpages. The results should be much more stable. This fixes issues where the content of a page could disappear when translated, or interactive widgets could break.",2024-01-23
Firefox,Feature_00003,Feature_00003,Firefox now supports creating and using passkeys stored in the iCloud Keychain on macOS.,2024-01-23
Firefox,Feature_00004,Feature_00004,MDN Web Docs article suggestions from Firefox Suggest will be available in the address bar for users searching for web development-related information.,2024-01-23
Firefox,Feature_00005,Feature_00005,"The line breaking rules of Web content now match the Unicode Standard. This improves Web Browser compatibility for line breaking. An additional improvement for East Asian and South East Asian end users, Firefox now supports proper language-aware word selection when double-clicking on text for languages including Chinese, Japanese, Burmese, Lao, Khmer, and Thai.",2024-01-23
Firefox,Feature_00006,Feature_00006,"Firefox now ships with a new .deb package for Linux users on Ubuntu, Debian, and Linux Mint.",2024-01-23
Firefox,Feature_00007,Feature_00007,Firefox now prompts Windows users to install the Microsoft AV1 Video Extension to enable hardware decoding support for the AV1 video codec from about:support if not already installed.,2023-12-19
Firefox,Feature_00008,Feature_00008,Firefox now supports Voice Control commands on macOS systems.,2023-12-19
Firefox,Feature_00009,Feature_00009,"On Linux, Firefox now defaults to the Wayland compositor when available instead of XWayland. This brings support for touchpad & touchscreen gestures, swipe-to-nav, per-monitor DPI settings, better graphics performance, and more.",2023-12-19
Firefox,Feature_00010,Feature_00010,Firefox can now force links to always be underlined. This option can be enabled in the Browsing section of the Firefox Settings menu.,2023-12-19
Firefox,Feature_00011,Feature_00011,Firefox supports a new “Copy Link Without Site Tracking” feature in the context menu which ensures that copied links no longer contain tracking information.,2023-11-21
Firefox,Feature_00012,Feature_00012,"Firefox now supports a setting (in Preferences ? Privacy & Security) to enable Global Privacy Control. With this opt-in feature, Firefox informs the websites that the user doesn’t want their data to be shared or sold. This feature is enabled in private browsing mode by default.",2023-11-21
Firefox,Feature_00013,Feature_00013,"Firefox’s private windows and ETP-Strict privacy configuration now enhance the Canvas APIs with Fingerprinting Protection, thereby continuing to protect our users’ online privacy.",2023-11-21
Firefox,Feature_00014,Feature_00014,Firefox is rolling-out Cookie Banner Blocker by default in private windows for users in Germany during the coming weeks. Firefox will now auto-refuse cookies and dismiss annoying cookie banners for supported sites.,2023-11-21
Firefox,Feature_00015,Feature_00015,Firefox has enabled URL Tracking Protection by default in private windows for all users in Germany. Firefox will remove non-essential URL query parameters that are often used to track users across the web.,2023-11-21
Firefox,Feature_00016,Feature_00016,"Firefox now imports user-added TLS trust anchors (e.g., certificates) from the operating system root store. This will be enabled by default on Windows, macOS, and Android, and if needed, can be turned off in settings (Settings ? Privacy & Security ? Certificates).",2023-11-21
Firefox,Feature_00017,Feature_00017,Keyboard shortcuts have now been added for editing and deleting a selected credential on about:logins. For editing - Alt + enter (Option + return on macOS) and for deleting - Alt + Backspace (Option + Delete on macOS).,2023-11-21
Firefox,Feature_00018,Feature_00018,Users on Ubuntu Linux now have the ability to import from Chromium when both are installed as Snap packages.,2023-11-21
Firefox,Feature_00019,Feature_00019,Picture-in-Picture now supports corner snapping on Windows and Linux - just hold Ctrl as you move the PiP window.,2023-11-21
Firefox,Feature_00020,Feature_00020,"Gradually rolling out in Fx119, Firefox View includes more content. You can now see all open tabs, from all windows. If you sync open tabs, you’ll see all tabs from other devices. Browsing history is now listed and you can sort by date or by site. As before, recently closed tabs are also listed on Firefox View. To access Firefox View, select the file folder icon at the top left of your tab strip.",2023-10-24
Firefox,Feature_00021,Feature_00021,"Gradually rolling out in Fx119, Firefox now allows you to edit PDFs by adding images and alt text, in addition to text and drawings.",2023-10-24
Firefox,Feature_00022,Feature_00022,Recently closed tabs now persist between sessions that don't have automatic session restore enabled. Manually restoring a previous session will continue to reopen any previously open tabs or windows.,2023-10-24
Firefox,Feature_00023,Feature_00023,"If you're migrating your data from Chrome, Firefox now offers the ability to import some of your extensions as well.",2023-10-24
Firefox,Feature_00024,Feature_00024,"As part of Total Cookie Protection, Firefox now supports the partitioning of Blob URLs, this mitigates a potential tracking vector that third-party agents could use to track an individual.",2023-10-24
Firefox,Feature_00025,Feature_00025,"The visibility of fonts to websites has been restricted to system fonts and language pack fonts in Enhanced Tracking Protection, strict mode to mitigate font fingerprinting.",2023-10-24
Firefox,Feature_00026,Feature_00026,The Storage Access API web standard was updated to improve security while mitigating website breakages and further enabling the phase out of third-party cookies in Firefox.,2023-10-24
Firefox,Feature_00027,Feature_00027,"Encrypted Client Hello (ECH) is now available to Firefox users, delivering a more private browsing experience. ECH extends the encryption used in TLS connections to cover more of the handshake and better protect sensitive fields.",2023-10-24
Firefox,Feature_00028,Feature_00028,"Media sniffing is no longer applied to files served as type application/octet-stream, this allows these files to be downloaded instead of attempting playback.",2023-10-24
